,Unnamed: 0,title,authors,journal,year,abstract,Relevance_Score
10,10,What problems in health care quality should we target as the world burns around us?,"Kaveh G. Shojania · Feb 27, 202",CMAJ : Canadian Medical Association Journal,2022,"© 2022 CMA Impact Inc. or its licensors CMAJ | February 28, 2022 | Volume 194 | Issue 8 E311 I n 2001, an influential report defined quality health care in terms of 6 domains: safety, effectiveness, timeliness, efficiency, patient-centredness and equity.1 Physicians primarily focus on effectiveness, which can be defined operationally as the degree to which patients receive the recommendations from practice guidelines relevant to their care. Only about 50% of patients receive such recommended care.2 In addition, patients frequently receive nonrecommended care and undergo tests and treatments with no clear benefits.3 In related research, Squires and colleagues provide contemporary estimates of these twin problems of underuse and overuse in Canada.4 Using Canadian data from 174 studies published from 2007 to 2021, they found a median proportion of inappropriate care (either underuse or overuse) of 30%. This inventory of shortfalls in the delivery of effective care comes after decades of efforts to address such quality problems,5 begging the question, “What should we be doing to deliver better quality care?” The mainstream approach to quality improvement — my professional focus for many years — aims to ensure that tests and treatments with established benefits are offered routinely to patients. Yet, efforts to promote the uptake of recommended care have produced few substantive successes. A systematic review of more than 100 interventions to improve professional practice that was published in CMAJ in 1995 concluded that “we have no magic bullets — most interventions achieved small to modest improvements in recommended practices.”6 More than 25 years later, promoting the uptake of effective interventions or de-implementing ineffective ones remains difficult. For instance, 2 common improvement interventions, computerized decision support and performance report cards, typically increase the proportion of patients receiving recommended care by just 5% overall according to the findings of 2 metaanalyses.7,8 Although some individual trials report larger improvements, the circumstances producing such results remain unclear. Even if worthwhile improvements could be generated consistently, overloading physicians with report cards and reminders for multiple different quality targets is unsustainable. The authors of the related systematic review4 identified glycosylated hemoglobin (HbA1c) testing as the most frequently underused diagnostic test in Canada. Addressing underuse of HbA1c testing might prompt use of the many effective therapies for diabetes that have become available in recent years. Yet, more than 100 randomized controlled trials evaluating improvement interventions for outpatients with diabetes achieved an average reduction in HbA1c of just 0.37%.9 Although future research might identify more effective improvements, the question then becomes how to decide which quality problems to prioritize. This prioritization might depend on the anticipated health benefits from closing any particular shortfall in recommended care. Statins, the most frequent therapeutic example of underuse in the systematic review,4 provides a telling example. Among patients with established atherosclerotic cardiovascular disease, 33–100 must take a statin for 10 years to prevent 1 cardiovascular death, myocardial infarction, stroke or recurrent ischemic event.10 In addition, use of statins postpones death in patients with established atherosclerotic disease by just 17 days.11 Of course, clinical interventions with larger benefits exist — vaccines for SARS-CoV-2, for example — but they represent the Commentary Health services",0.0
11,11,Towards a harmonised framework for developing quality of care indicators for global health: a scoping review of existing conceptual and methodological practices,"L. Dudley, Punithasvaree Mamdoo, Selvan Naidoo",BMJ Health & Care Informatics,2022,"Objectives Despite significant advances in the science of quality of care measurement over the last decade, approaches to developing quality of care indicators for global health priorities are not clearly defined. We conducted a scoping review of concepts and methods used to develop quality of healthcare indicators to better inform ongoing efforts towards a more harmonised approach to quality of care indicator development in global health. Methods We conducted a systematic search of electronic databases, grey literature and references for articles on developing quality of care indicators for routine monitoring in all healthcare settings and populations, published in English between 2010 and 2020. We used well-established methods for article screening and selection, data extraction and management. Results were summarised using a descriptive analysis and a narrative synthesis. Results The 221 selected articles were largely from high-income settings (89%), particularly the USA (46%), Canada (9%), UK (9%) and Europe (17%). Quality of care indicators were developed mainly for healthcare providers (56%), for benchmarking or quality assurance (37%) and quality improvement (29%), in hospitals (32%) and primary care (26%), across many diseases. The terms ‘quality indicator’ and ‘quality measure’ were the most frequently encountered terms (50% and 21%, respectively). Systematic approaches for quality of care indicator development emerged within national quality of care systems or through cross-country collaborations in high-income settings. Maternal, neonatal and child health (33%), mental health (26%) and primary care (57%) studies applied most components of systematic approaches, but not consistently or rigorously. Discussion The current evidence shows variations in concepts and approaches to developing quality of care indicators, with development and application mainly in high-income countries. Conclusion Additional efforts are needed to propose ‘best-practice’ conceptual frameworks and methods for developing quality of care indicators to improve their utility in global health measurement.",0.0
12,12,Oral health and oral health-related quality of life among older adults receiving home health care services: A scoping review.,"S. H. Henni, R. Skudutyte-Rysstad, V. Ansteinsson",Gerodontology,2022,"OBJECTIVE
To map the literature on subjective and objective oral health indicators and oral health-related quality of life (OHRQoL) in older adults receiving home health care services (HHCS).


BACKGROUND
The proportion of older adults in need of HHCS will increase in the coming years. Previous studies indicate that frail and dependent older adults are at increased risk for oral diseases, due to challenges with daily oral hygiene and regular access to dental services.


MATERIALS AND METHODS
Four databases were searched in November 2020 for relevant literature. Search terms included a comprehensive list of terms for adults 65 years or older receiving HHCS, clinical and subjective oral health indicators, and OHRQoL. The literature was reviewed based on inclusion and exclusion criteria.


RESULTS
Of the 3114 sources identified, 18 were included. Data on oral diseases and symptoms among older adults receiving HHCS were limited and heterogeneous. Overall, older adults often lacked some of their natural teeth and often had removable dentures that needed repair. In addition, plaque, caries, xerostomia, and chewing and swallowing problems were common among the population group. Data on OHRQoL were scarce and indicated a positive association with a higher number of present teeth, while decayed teeth, root remnants, and dry mouth had substantial negative impacts on the daily activities of older adults receiving HHCS.


CONCLUSION
This scoping review show that older adults above 65 years receiving HHCS generally have poor oral health status and that there is a knowledge gap regarding their OHRQoL.",0.0
13,13,Data Quality in health research: an integrative literature review,"F. Bernardi, Domingos Alves, N. Crepaldi",Journal name not available for this finding,2022,"Decision-making and strategies to improve service delivery need to be supported by reliable health data to generate consistent evidence on health status, so the data quality management process must ensure the reliability of the data collected. Thus, through an integrative literature review, the main objective of this work is to identify and evaluate digital health technology interventions designed to support the conduct of health research based on data quality. After analyzing and extracting the results of interest, 33 articles were included in the review. This transdisciplinarity may be reaching the threshold of significant growth and thus forcing the need for a metamorphosis of the area from focusing on the measurement and evaluation of data quality, today focused on content, to a direction focused on use and context In general, the main barriers reported in relation to the theme of research in the area of health data quality cite circumstances regarding a) use, b) systems and c) health services. . The resources presented can help guide medical decisions that do not only involve medical professionals, and indirectly contribute to avoiding decisions based on low-quality information that can put patients' lives at risk.",0.11159937490143612
14,14,Association of Music Interventions With Health-Related Quality of Life,"J. McCrary, E. Altenmüller, Clara Kretschmer",JAMA Network Open,2022,"Key Points Question Are music-making and listening interventions associated with positive changes in health-related quality of life? Findings This systematic review and meta-analysis of 26 studies comprising 779 individuals found that music interventions were associated with statistically and clinically significant changes in mental HRQOL, both preintervention to postintervention as well as when music interventions were added to treatment as usual vs treatment as usual control groups. Meaning These results suggest that associations between music interventions and clinically significant changes in HRQOL are demonstrable in comprehensive reviews of previous studies.",0.0
15,15,Nurses’ Quality of Life and Healthy Behaviors,"Natalia Orszulak, Klaudia Kubiak, Adam Kowal",International Journal of Environmental Research and Public Health,2022,"Quality of life (QoL) is closely linked to the health status of the individual. In turn, health status strongly depends on lifestyle. Health behavior, which is defined as the actions and attitudes of a person that affect their physical and mental health, is one of many lifestyle components. The nursing community, which is exposed to a range of dangers associated with the job position and responsibilities of the nursing profession, has to contend with several negative impacts. This results in a decreased quality of life among the nursing staff and reduced effectiveness in providing care services to patients. Methods: This study was conducted using an online Google questionnaire, which was completed by 312 nurses nationwide. The questionnaire included questions about the respondents’ socio-demographic survey and included the Health Behavior Inventory (HBI) by Juczyński and the WHOQoL-BREF questionnaire. Results: The mean QoL reported by respondents was 3.65 points (SD = 0.67), meaning that QoL ranked between good and average results. The respondents’ mean rating of their own health was 3.58 points (SD = 0.79), indicating that they rated their health status between satisfactory and average. Low health-behavior prevalence was reported by 139 of the 312 survey participants (44.55%), while 111 respondents (35.58%) had average health-behavior prevalence and 62 (19.87%) had high health-behavior prevalence. Each of the QoL domains correlated significantly (p ˂ 0.05) and positively (r ˃ 0) with the total HBI score and all its subscales. Conclusions: Higher quality of life improves the level of health behavior by nursing staff. Obesity lowers the quality of life in physical, psychological, and social domains. The psychological sphere was the best-rated quality of life domain by nurses. A good material situation for nurses has a positive effect on their quality of life.",0.0
16,16,All Quality Improvement Is Health Equity Work: Designing Improvement to Reduce Disparities.,"K. C. Lion, Elissa Z. Faro, Tumaini R. Coker · Mar 1, 202",Pediatrics,2022,"Quality improvement (QI) can be a critical means by which to achieve equity in health and health care. QI efforts, however, often fail to be designed and implemented through the lens of health equity. In this article, we will discuss the current state of the intersection between QI and health equity, then lay out specific steps researchers and practitioners can take to ensure that their QI work reduces, rather than increases or maintains, existing disparities. These steps include first, understanding existing disparities and, second, utilizing community engagement to ensure that QI enhances health equity. Before embarking on QI work, QI practitioners should first examine their metric of interest by patient characteristics, starting with race and ethnicity, language, and markers of access to care and socioeconomic status. Developing an understanding of existing disparities relevant to the QI project will ensure that the QI interventions can be designed to be most effective in the disadvantaged populations, thus increasing the likelihood that the intervention reduces existing disparities. In designing QI interventions, practitioners must also plan engagement with stakeholder populations ahead of time, to carefully understand their needs and priorities and how best to address them through QI efforts.",0.0
17,17,The quality of digital health software: Should we be concerned?,"P. Kokol, Helena Blažun Vošner, Marko Kokol",Digital Health,2022,"The digitalization of healthcare fuelled by advances in technology and the increased prevalence of mobile smart devices and health-related internet of things can offer equitable access to expert-level healthcare globally. Growing demand for telemedicine, mobile health apps, and advanced data analytics have further established their role in a modern information society during the Covid-19 crisis. Digital health is, in essence, powered by software (DHSW), which has to operate in the specific digital health environment characteristics and is therefore highly and intrinsically complex and prone to software defects and faults. Given the lack of standardization regarding DHSW quality, we explored the available reviewed research on this crucial topic in this brief paper, using a synthetic thematic analysis approach. We assert that neither the volume, distribution nor scope of the DHSW quality research content is satisfactory, and significant research gaps exist. Based on the presented evidence, we can only conclude that we should be concerned and that the time to act is now to ensure that the unavoidable increase of usage and prevalence of DHSW will not – in the end – reduce the quality of care due to subpar software and software-based digital health systems.",0.0
18,18,Bridging health equity and quality improvement in medical education,"J. Sukhera · Oct 19, 202",Medical Education,2022,"The integration of quality improvement into medical education has gained widespread acceptance across several jurisdictions. 1 Although equity is a core component of how healthcare quality is conceptua-lised, health equity has yet to be adequately integrated into both clinical and educational aspects of QI. The potential reasons for this lack of progress must be considered from both clinical and educational perspectives. Postgraduate medical learners are both students and workers. Their role and participation in any QI initiatives as learners and future professionals will likely be coloured by their informal experiences and context. 1,2 Given the established role of indirect learning and contextual factors on shaping the success of QI education, a deeper understanding of how QI education, QI practice and health equity are interconnected may provide guidance for educators.",0.11784967839243782
19,19,Internal Quality and Job Satisfaction in Health Care Services,"A. Goula, Theodoros Rizopoulos, M. Stamouli",International Journal of Environmental Research and Public Health,2022,"(1) Background: The main purpose of this study was to evaluate the health services’ internal quality level in Greek public hospitals and to investigate whether there is a relation between internal quality and health care professionals’ job satisfaction. (2) Material and Methods: A cross-sectional study was conducted in six public hospitals (four general and two specialized hospitals). The following tools were used to collect data: (a) the SERVQUAL questionnaire, which is designed to measure service quality through five dimensions, and (b) the Job Satisfaction Survey (JSS) questionnaire, which is designed to measure employees’ job satisfaction. Convenience sampling was used as a sampling technique. (3) Results: The level of internal quality service was found to be low as regards the dimensions of: reliability, assurance, responsiveness, and empathy, while the “tangibles” dimension was the only one which was assessed as having a satisfactory internal quality level. Τhe results also revealed a positive correlation between the job satisfaction subscales and the quality dimensions. Regarding demographic characteristics and their effect on employees’ perceptions of internal quality dimensions, the study found that the gender and the educational factor had no effect while younger employees have a more positive perception of the quality of responsiveness dimension in the health organizations where they work. In terms of profession, administrative staff had a lower perception of the quality of tangibles dimension than doctors and nurses. Concerning years of experience, the results indicated that employees with more previous working experience had a worse perception of the quality of reliability, responsiveness, and assurance dimensions. (4) Conclusions: According to the results, establishing a sense of trust and understanding between management and health professionals through effective communication, transparent evaluation, and reward is critical to developing, enhancing, and promoting an internal quality culture in a hospital setting.",0.0
20,20,1 Mobile Health Apps in Burns: Where Is the Quality Control?,"B. Patel, T. Edwards, T. Schrire",British Journal of Surgery,2022,"High quality mobile health applications (mhealth apps) have the potential to enhance the prevention, diagnosis, and treatment of burns. The primary aim of this study was to evaluate whether the quality of mhealth apps for burns care is being adequately assessed. The secondary aim was to determine whether these apps meet UK regulatory standards.
 
 
 
 We searched AMED, BNI, CINAHL, Cochrane library, Embase, Emcare, Medline and PsychInfo to identify studies assessing mhealth app quality for burns. The PRISMA reporting guideline was adhered to. Two independent reviewers screened s to identify relevant studies. We analysed whether seven established domains of mhealth app quality were assessed: design, information/content, usability, functionality, ethical issues, security/privacy, and user-perceived value.
 
 
 
 Of the 28 included studies, none assessed all seven domains of quality. Design was assessed in 4/28 studies; information/content in 26/28 studies; usability in 12/28 studies; functionality in 10/28 studies; ethical issues were never assessed in any studies; security/privacy was not assessed; subjective assessment was made in 9/28 studies. 17/28 studies included apps that met the definition of ‘medical device’ according to MHRA guidance, yet only one app was appropriately certified with the UK Conformity Assessed (UKCA) mark.
 
 
 
 The quality of mHealth apps for burns are not being adequately assessed. The majority of apps should be considered medical devices according to UK standards, but only one was appropriately certified. Regulatory bodies should support mhealth app developers, so as to improve quality control whilst simultaneously fostering innovation.",0.06425982582068125
21,21,Health Behaviors and Health-Related Quality of Life in Female Medical Staff,"Maria Niestrój-Jaworska, Małgorzata Dębska-Janus, J. Polechoński",International Journal of Environmental Research and Public Health,2022,"The aim of this study was to evaluate the relationship between the intensity of health behaviors and health-related quality of life in female mid-level medical staff. The study group consisted of 153 female mid-level medical staff members. The intensity of health behaviors was examined with the Polish version of Health Behavior Inventory. Health-related quality of life was verified with the Short Form Health Survey questionnaire (SF 36v2). Among the participants, 33% had low, 39% average, and 28% high intensity of health behaviors. The mental component of health-related quality of life was rated higher (83.3 ± 15.3 points) compared to the physical one. The lowest health-related quality of life was observed in the domain of “bodily pain”, while the highest was found for the domain of “social functioning”. Both the physical and mental components of health-related quality of life were significantly positively correlated with health behavior prevalence in all its categories. The post-hoc tests revealed the variation in physical and mental components of HRQoL according to the level of health behavior intensity.",0.09504055301882194
22,22,Effects of Health Insurance on Quality of Care in Low-Income Countries: A Systematic Review,"Doris Osei Afriyie, Brendan Kwesiga, Grace Achungura",Public Health Reviews,2023,"Objectives: To evaluate the effectiveness of health insurance on quality of care in low-income countries (LICs). Methods: We conducted a systematic review following PRISMA guidelines. We searched seven databases for studies published between 2010 and August 2022. We included studies that evaluated the effects of health insurance on quality of care in LICs using randomized experiments or quasi-experimental study designs. Study outcomes were classified using the Donabedian framework. Results: We included 15 studies out of the 6,129 identified. Available evidence seems to suggest that health insurance has limited effects on structural quality, and its effects on the process of care remain mixed. At the population level, health insurance is linked to improved anthropometric measures for children and biomarkers such as blood pressure and hemoglobin levels. Conclusion: Based on the currently available evidence, it appears that health insurance in LICs has limited effects on the quality of care. Further studies are required to delve into the mechanisms that underlie the impact of health insurance on the quality of care and identify the most effective strategies to ensure quality within insurance programs. Systematic Review Registration: https://www.crd.york.ac.uk/prospero/display_record.php?RecordID=219984, identifier PROSPERO CRD42020219984",0.0
